"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"2/13/2026","2/13/2026","2/17/2026","SPXW","SPXW 2/13/2026 Put $6,770.00","BTC","1","$0.52","($52.89)"
"2/13/2026","2/13/2026","2/17/2026","SPXW","SPXW 2/13/2026 Put $6,770.00","BTC","1","$0.52","($52.89)"
"2/13/2026","2/13/2026","2/17/2026","SPXW","SPXW 2/13/2026 Put $6,760.00","STC","1","$0.42","$41.11"
"2/13/2026","2/13/2026","2/17/2026","SPXW","SPXW 2/13/2026 Put $6,770.00","BTC","1","$0.52","($52.89)"
"2/13/2026","2/13/2026","2/17/2026","SPXW","SPXW 2/13/2026 Put $6,760.00","STC","1","$0.42","$41.11"
"2/13/2026","2/13/2026","2/17/2026","SPXW","SPXW 2/13/2026 Put $6,760.00","STC","1","$0.42","$41.11"
"2/13/2026","2/13/2026","2/13/2026","","Aggregated Margin Rate","MINT","","","($52.94)"
"2/12/2026","2/12/2026","2/12/2026","AAPL","Cash Div: R/D 2026-02-09 P/D 2026-02-12 - 0.027138 shares at 0.26","CDIV","","","$0.01"
"2/9/2026","2/9/2026","2/10/2026","SPXW","SPXW 2/27/2026 Put $6,665.00","STO","3","$19.69","$5,904.06"
"2/9/2026","2/9/2026","2/10/2026","SPXW","SPXW 2/27/2026 Put $6,655.00","BTO","3","$18.94","($5,684.94)"
"2/6/2026","2/6/2026","2/6/2026","ASST","Strive, Inc.
CUSIP: 862945102","SPR","1000S","",""
"2/6/2026","2/6/2026","2/6/2026","ASST","Strive, Inc.
CUSIP: 862945300","SPR","50","",""
"2/2/2026","2/2/2026","2/3/2026","SPXW","SPXW 2/13/2026 Put $6,770.00","STO","1","$13.57","$1,356.02"
"2/2/2026","2/2/2026","2/3/2026","SPXW","SPXW 2/13/2026 Put $6,760.00","BTO","1","$12.82","($1,282.98)"
"2/2/2026","2/2/2026","2/3/2026","SPXW","SPXW 2/13/2026 Put $6,770.00","STO","1","$13.57","$1,356.02"
"2/2/2026","2/2/2026","2/3/2026","SPXW","SPXW 2/13/2026 Put $6,760.00","BTO","1","$12.82","($1,282.98)"
"2/2/2026","2/2/2026","2/3/2026","SPXW","SPXW 2/13/2026 Put $6,770.00","STO","1","$13.57","$1,356.02"
"2/2/2026","2/2/2026","2/3/2026","SPXW","SPXW 2/13/2026 Put $6,760.00","BTO","1","$12.82","($1,282.98)"
"2/2/2026","2/2/2026","2/3/2026","SPXW","SPXW 2/13/2026 Put $6,770.00","STO","2","$13.57","$2,712.04"
"2/2/2026","2/2/2026","2/3/2026","SPXW","SPXW 2/13/2026 Put $6,760.00","BTO","2","$12.82","($2,565.96)"
"2/2/2026","2/2/2026","2/3/2026","SPXW","SPXW 2/6/2026 Put $6,725.00","BTC","1","$2.55","($255.98)"
"2/2/2026","2/2/2026","2/3/2026","SPXW","SPXW 2/6/2026 Put $6,715.00","STC","1","$2.30","$229.02"
"2/2/2026","2/2/2026","2/3/2026","SPXW","SPXW 2/6/2026 Put $6,725.00","BTC","1","$2.55","($255.98)"
"2/2/2026","2/2/2026","2/3/2026","SPXW","SPXW 2/6/2026 Put $6,715.00","STC","1","$2.30","$229.02"
"2/2/2026","2/2/2026","2/3/2026","SPXW","SPXW 2/6/2026 Put $6,725.00","BTC","1","$2.55","($255.98)"
"2/2/2026","2/2/2026","2/3/2026","SPXW","SPXW 2/6/2026 Put $6,715.00","STC","1","$2.30","$229.02"
"2/2/2026","2/2/2026","2/3/2026","SPXW","SPXW 2/6/2026 Put $6,725.00","BTC","2","$2.55","($511.96)"
"2/2/2026","2/2/2026","2/3/2026","SPXW","SPXW 2/6/2026 Put $6,715.00","STC","2","$2.30","$458.04"
"1/27/2026","1/27/2026","1/28/2026","SPXW","SPXW 1/30/2026 Put $6,725.00","BTC","2","$2.45","($491.96)"
"1/27/2026","1/27/2026","1/28/2026","SPXW","SPXW 1/30/2026 Put $6,715.00","STC","2","$2.20","$438.04"
"1/27/2026","1/27/2026","1/28/2026","SPXW","SPXW 1/30/2026 Put $6,725.00","BTC","3","$2.45","($737.94)"
"1/27/2026","1/27/2026","1/28/2026","SPXW","SPXW 1/30/2026 Put $6,715.00","STC","3","$2.20","$657.06"
"1/26/2026","1/26/2026","1/27/2026","SPXW","SPXW 2/6/2026 Put $6,715.00","BTO","5","$12.82","($6,414.90)"
"1/26/2026","1/26/2026","1/27/2026","SPXW","SPXW 2/6/2026 Put $6,725.00","STO","5","$13.62","$6,805.10"
"1/22/2026","1/22/2026","1/23/2026","SPXW","SPXW 1/30/2026 Put $6,725.00","STO","1","$11.77","$1,176.02"
"1/22/2026","1/22/2026","1/23/2026","SPXW","SPXW 1/30/2026 Put $6,715.00","BTO","1","$10.92","($1,092.98)"
"1/22/2026","1/22/2026","1/23/2026","SPXW","SPXW 1/30/2026 Put $6,725.00","STO","1","$11.77","$1,176.02"
"1/22/2026","1/22/2026","1/23/2026","SPXW","SPXW 1/30/2026 Put $6,715.00","BTO","1","$10.92","($1,092.98)"
